Песнь		год			аном	7	5	стр		отн
I			1842		-		-	-	440		-
II			1843		3		3	-	434		0.0069
III			1843		-		-	-	497		-
IV			1844		1		1	-	847		0.0012
V			1844		5		4	1	493		0.0101
VI			1844		4		3	1	331		0.0121
VII			1844		4		1	3	347		0.0115
VIII		1844		3		2	1	586		0.0051
IX			1844		6		3	3	566		0.0106
X			1844		5		3	2	574		0.0087
XI			1844		3		1	1	640		0.0047
XII			1844		6		3	3	453		0.0132
XIII		1848		4		2	2	440		0.0091
XIV			1848		2		1	1	533		0.0038
XV			1848		2		2	-	557		0.0036
XVI			1848		-		-	-	481		-
XVII		1849		1		-	1	606		0.0017
XVIII		1849		1		1	-	428		0.0023
XIX			1849		-		-	-	604		-
XX			1849		-		-	-	394		-
XXI			1849		-		-	-	434		-
XXII		1849		-		-	-	501		-
XXIII		1849		-		-	-	372		-
XXIV		1849		-		-	-	548		-
Всего		0000		50		30	19  12106
